0,2,4
1,10,5
2,2,5
3,16,15
4,3,16
5,17,5
6,15,1
7,20,17
8,4,6
9,21,12
10,12,6
11,16,11
12,16,5
13,13,15
14,12,4
15,18,17
16,1,16
17,16,3
18,18,8
19,15,17
20,15,12
21,16,10
22,20,6
23,6,2
24,5,18
25,17,16
26,10,12
27,2,6
28,0,20
29,4,16
30,13,15
31,16,4
32,20,13
33,14,13
34,2,16
35,5,17
36,10,2
37,18,12
38,3,13
39,7,4
40,20,17
41,4,16
42,20,5
43,16,17
44,6,17
45,12,16
46,12,13
47,15,3
48,9,7
49,16,13
50,10,5
51,4,17
52,6,12
53,16,7
54,7,12
55,12,18
56,20,12
57,5,1
58,5,7
59,17,5
60,16,7
61,6,4
62,12,7
63,1,12
64,12,20
65,15,12
66,20,3
67,18,8
68,15,2
69,20,4
70,18,5
71,5,18
72,5,2
73,14,17
74,15,11
75,17,6
76,20,7
77,12,4
78,13,1
79,20,8
80,13,12
81,17,1
82,5,11
83,13,6
84,16,1
85,5,16
86,5,17
87,21,16
88,17,10
89,4,6
90,4,6
91,4,2
92,6,20
93,21,3
94,6,15
95,20,12
96,2,15
97,6,14
98,20,19
99,16,12
100,5,8
101,20,7
102,9,6
103,15,20
104,20,4
105,12,19
106,5,16
107,20,6
108,5,16
109,7,16
110,13,20
111,20,15
112,6,3
113,7,20
114,9,21
115,1,3
116,18,13
117,11,0
118,15,17
119,5,11
120,5,12
121,16,6
122,16,13
123,10,16
124,14,16
125,15,5
126,3,6
127,6,8
128,8,1
129,7,12
130,6,5
131,2,20
132,10,16
133,14,2
134,12,17
135,15,12
136,20,17
137,5,17
138,5,6
139,12,3
140,5,16
141,5,13
142,12,17
143,5,1
144,17,5
145,16,20
146,16,14
147,1,15
148,6,17
149,5,2
150,4,13
151,5,7
152,6,20
153,12,11
154,4,11
155,13,6
156,16,5
157,2,16
158,8,12
159,12,17
160,17,2
161,18,7
162,4,12
163,13,20
164,7,20
165,5,17
166,12,7
167,21,10
168,11,7
169,17,6
170,20,16
171,14,16
172,16,20
173,8,10
174,17,16
175,16,5
176,14,12
177,5,11
178,10,11
179,14,12
180,16,13
181,12,21
182,12,14
183,17,8
184,6,2
185,12,6
186,5,17
187,17,12
188,20,13
189,17,2
190,16,7
191,5,12
